YEAR,MONTH,PRICE
1997,1,3.45
1997,2,2.15
1997,3,1.89
1997,4,2.03
1997,5,2.25
1997,6,2.2
1997,7,2.19
1997,8,2.49
1997,9,2.88
1997,10,3.07
1997,11,3.01
1997,12,2.35
1998,1,2.09
1998,2,2.23
1998,3,2.24
1998,4,2.43
1998,5,2.14
1998,6,2.17
1998,7,2.17
1998,8,1.85
1998,9,2.02
1998,10,1.91
1998,11,2.12
1998,12,1.72
1999,1,1.85
1999,2,1.77
1999,3,1.79
1999,4,2.15
1999,5,2.26
1999,6,2.3
1999,7,2.31
1999,8,2.79
1999,9,2.55
1999,10,2.73
1999,11,2.37
1999,12,2.36
2000,1,2.42
2000,2,2.66
2000,3,2.79
2000,4,3.04
2000,5,3.59
2000,6,4.29
2000,7,3.99
2000,8,4.43
2000,9,5.06
2000,10,5.02
2000,11,5.52
2000,12,8.9
2001,1,8.17
2001,2,5.61
2001,3,5.23
2001,4,5.19
2001,5,4.19
2001,6,3.72
2001,7,3.11
2001,8,2.97
2001,9,2.19
2001,10,2.46
2001,11,2.34
2001,12,2.3
2002,1,2.32
2002,2,2.32
2002,3,3.03
2002,4,3.43
2002,5,3.5
2002,6,3.26
2002,7,2.99
2002,8,3.09
2002,9,3.55
2002,10,4.13
2002,11,4.04
2002,12,4.74
2003,1,5.43
2003,2,7.71
2003,3,5.93
2003,4,5.26
2003,5,5.81
2003,6,5.82
2003,7,5.03
2003,8,4.98
2003,9,4.62
2003,10,4.63
2003,11,4.47
2003,12,6.13
2004,1,6.14
2004,2,5.37
2004,3,5.39
2004,4,5.71
2004,5,6.33
2004,6,6.27
2004,7,5.93
2004,8,5.41
2004,9,5.15
2004,10,6.35
2004,11,6.17
2004,12,6.58
2005,1,6.15
2005,2,6.14
2005,3,6.96
2005,4,7.16
2005,5,6.47
2005,6,7.18
2005,7,7.63
2005,8,9.53
2005,9,11.75
2005,10,13.42
2005,11,10.3
2005,12,13.05
2006,1,8.69
2006,2,7.54
2006,3,6.89
2006,4,7.16
2006,5,6.24
2006,6,6.21
2006,7,6.17
2006,8,7.14
2006,9,4.9
2006,10,5.85
2006,11,7.4
2006,12,6.73
2007,1,6.55
2007,2,8.0
2007,3,7.11
2007,4,7.6
2007,5,7.64
2007,6,7.35
2007,7,6.22
2007,8,6.22
2007,9,6.08
2007,10,6.74
2007,11,7.1
2007,12,7.1
2008,1,7.99
2008,2,8.54
2008,3,9.41
2008,4,10.18
2008,5,11.27
2008,6,12.69
2008,7,11.09
2008,8,8.26
2008,9,7.67
2008,10,6.74
2008,11,6.68
2008,12,5.82
2009,1,5.24
2009,2,4.51
2009,3,3.96
2009,4,3.49
2009,5,3.83
2009,6,3.8
2009,7,3.38
2009,8,3.14
2009,9,2.99
2009,10,4.01
2009,11,3.66
2009,12,5.35
2010,1,5.83
2010,2,5.32
2010,3,4.29
2010,4,4.03
2010,5,4.14
2010,6,4.8
2010,7,4.63
2010,8,4.31
2010,9,3.89
2010,10,3.43
2010,11,3.71
2010,12,4.25
2011,1,4.49
2011,2,4.09
2011,3,3.97
2011,4,4.24
2011,5,4.31
2011,6,4.54
2011,7,4.42
2011,8,4.05
2011,9,3.9
2011,10,3.57
2011,11,3.24
2011,12,3.17
2012,1,2.67
2012,2,2.5
2012,3,2.17
2012,4,1.95
2012,5,2.43
2012,6,2.46
2012,7,2.95
2012,8,2.84
2012,9,2.85
2012,10,3.32
2012,11,3.54
2012,12,3.34
2013,1,3.33
2013,2,3.33
2013,3,3.81
2013,4,4.17
2013,5,4.04
2013,6,3.83
2013,7,3.62
2013,8,3.43
2013,9,3.62
2013,10,3.68
2013,11,3.64
2013,12,4.24
2014,1,4.71
2014,2,6.0
2014,3,4.9
2014,4,4.66
2014,5,4.58
2014,6,4.59
2014,7,4.05
2014,8,3.91
2014,9,3.92
2014,10,3.78
2014,11,4.12
2014,12,3.48
2015,1,2.99
2015,2,2.87
2015,3,2.83
2015,4,2.61
2015,5,2.85
2015,6,2.78
2015,7,2.84
2015,8,2.77
2015,9,2.66
2015,10,2.34
2015,11,2.09
2015,12,1.93
2016,1,2.28
2016,2,1.99
2016,3,1.73
2016,4,1.92
2016,5,1.92
2016,6,2.59
2016,7,2.82
2016,8,2.81
